,Gesture Name,joint_head_x,joint_head_y,joint_head_z,joint_neck_x,joint_neck_y,joint_neck_z,joint_torso_x,joint_torso_y,joint_torso_z,joint_waist_x,joint_waist_y,joint_waist_z,joint_left_collar_x,joint_left_collar_y,joint_left_collar_z,joint_left_shoulder_x,joint_left_shoulder_y,joint_left_shoulder_z,joint_left_elbow_x,joint_left_elbow_y,joint_left_elbow_z,joint_left_wrist_x,joint_left_wrist_y,joint_left_wrist_z,joint_left_hand_x,joint_left_hand_y,joint_left_hand_z,joint_right_collar_x,joint_right_collar_y,joint_right_collar_z,joint_right_shoulder_x,joint_right_shoulder_y,joint_right_shoulder_z,joint_right_elbow_x,joint_right_elbow_y,joint_right_elbow_z,joint_right_wrist_x,joint_right_wrist_y,joint_right_wrist_z,joint_right_hand_x,joint_right_hand_y,joint_right_hand_z,joint_left_hip_x,joint_left_hip_y,joint_left_hip_z,joint_left_knee_x,joint_left_knee_y,joint_left_knee_z,joint_left_ankle_x,joint_left_ankle_y,joint_left_ankle_z,joint_right_hip_x,joint_right_hip_y,joint_right_hip_z,joint_right_knee_x,joint_right_knee_y,joint_right_knee_z,joint_right_ankle_x,joint_right_ankle_y,joint_right_ankle_z
5715,No Gesture,-402.283,414.48699999999997,1890.47,-395.043,293.159,1847.9,-381.452,-63.4703,1875.46,-374.645,-263.257,1831.82,-391.624,203.451,1854.83,-225.243,198.96599999999998,1856.78,-174.083,-87.6558,1896.46,-119.709,-357.858,1805.02,-108.834,-411.898,1786.73,-391.624,203.451,1854.83,-558.941,189.678,1862.47,-607.394,-99.9387,1851.58,-613.112,-324.529,1667.58,-614.256,-369.44699999999995,1630.79,-263.895,-333.459,1823.25,-268.268,-727.345,1612.59,-268.268,-1147.53,1612.59,-480.61,-333.834,1800.23,-437.504,-726.823,1592.28,-437.504,-1147.01,1592.28
1777,Point At DX,111.66,343.642,1771.16,107.398,218.382,1721.5,97.3756,-132.865,1676.13,102.946,-339.153,1626.36,104.91799999999999,131.472,1710.27,252.128,118.29899999999999,1785.01,291.596,-173.06599999999997,1789.69,380.463,-420.522,1738.52,398.23699999999997,-470.01300000000003,1728.29,104.91799999999999,131.472,1710.27,-56.5546,147.747,1665.58,-163.631,157.02,1391.86,-199.574,173.301,1126.92,-206.762,176.55700000000002,1073.94,208.188,-369.119,1635.8,199.21,-764.944,1455.81,199.21,-1174.05,1455.81,-5.6969199999999995,-355.17699999999996,1604.69,24.1187,-737.706,1399.91,24.1187,-1146.81,1399.91
1742,Point At DX,166.493,350.619,1758.36,159.963,219.612,1724.58,151.484,-136.009,1703.08,151.46200000000002,-342.577,1651.91,157.872,131.911,1719.28,321.507,123.12,1742.11,387.204,-152.256,1754.4,413.05,-387.466,1616.09,418.219,-434.50800000000004,1588.42,157.872,131.911,1719.28,-11.8633,142.93200000000002,1706.97,-169.61599999999999,103.594,1474.88,-283.019,140.417,1228.09,-305.7,147.782,1178.73,262.805,-376.875,1652.12,239.595,-758.422,1442.41,239.595,-1168.55,1442.41,38.5275,-373.325,1653.91,38.5275,-809.328,1653.91,38.5275,-1219.45,1653.91
3029,Point At SX,-159.593,277.264,2269.44,-161.392,155.442,2244.46,-170.67,-205.263,2214.36,-172.68400000000003,-398.663,2166.67,-163.596,69.7531,2237.31,9.63528,79.9909,2246.28,268.562,205.737,2164.29,443.579,357.282,2024.21,478.582,387.591,1996.2,-163.596,69.7531,2237.31,-320.753,57.739,2246.66,-395.477,-232.076,2248.1,-427.18199999999996,-480.9,2146.61,-433.523,-530.665,2126.31,-58.6039,-476.809,2159.47,-54.6901,-868.4789999999999,1990.14,-54.6901,-1269.88,1990.14,-282.953,-483.065,2171.51,-282.953,-909.79,2171.51,-282.953,-1311.19,2171.51
4362,Take DX,38.6139,301.441,1946.04,43.2099,173.09099999999998,1917.35,72.5066,-179.614,1920.53,86.1212,-388.07,1869.41,50.5617,84.5828,1918.15,213.27,89.2823,1946.32,305.711,-197.368,1994.67,348.745,-437.49300000000005,1880.87,357.352,-485.51800000000003,1858.11,50.5617,84.5828,1918.15,-124.571,81.1391,1904.0,-328.85,-23.3694,1703.01,-336.917,232.199,1618.85,-338.53,283.313,1602.02,196.364,-413.13800000000003,1875.76,165.942,-816.819,1713.61,165.942,-1231.29,1713.61,-29.4321,-401.971,1860.03,-19.8133,-771.768,1629.09,-19.8133,-1186.24,1629.09
2184,Point At DX,471.685,291.98900000000003,2153.87,475.908,167.34099999999998,2128.59,465.61300000000006,-196.72400000000002,2125.56,458.86699999999996,-391.224,2098.73,473.42699999999996,79.6043,2127.86,641.587,69.2027,2067.03,680.823,-201.455,2041.48,681.066,-449.99300000000005,1903.96,681.1139999999999,-499.70099999999996,1876.45,473.42699999999996,79.6043,2127.86,309.228,74.2744,2195.12,86.7401,-85.5595,2215.12,-164.206,-161.064,2105.54,-214.395,-176.165,2083.63,566.44,-456.82599999999996,2087.47,469.12800000000004,-815.209,1860.06,469.12800000000004,-1224.82,1860.06,358.615,-460.849,2133.83,358.615,-896.304,2133.83,358.615,-1305.91,2133.83
4267,Take DX,411.93699999999995,307.645,1991.48,408.70300000000003,181.479,1960.39,403.00300000000004,-172.268,1940.33,409.57599999999996,-382.708,1895.26,407.273,92.7146,1955.36,579.205,87.7286,1986.94,638.802,-214.674,2023.86,685.4810000000001,-448.48800000000006,1892.0,694.817,-495.251,1865.62,407.273,92.7146,1955.36,232.36599999999999,96.2844,1945.82,-23.17,58.4984,1773.67,12.5497,322.878,1718.31,19.6936,375.75300000000004,1707.24,518.4,-418.97900000000004,1905.97,526.946,-833.3889999999999,1755.02,526.946,-1248.34,1755.02,296.996,-410.725,1885.05,311.807,-807.8330000000001,1693.53,311.807,-1222.78,1693.53
5295,Take SX,-19.1382,258.438,2428.53,-17.8973,143.845,2396.26,-16.6752,-208.722,2381.58,-23.4884,-412.535,2330.5,-17.5966,57.0807,2392.65,162.283,69.8826,2409.4,446.435,114.686,2432.67,406.006,369.73699999999997,2419.83,397.92,420.74699999999996,2417.26,-17.5966,57.0807,2392.65,-180.359,38.6669,2421.79,-226.90900000000002,-245.856,2434.86,-283.343,-482.255,2346.65,-294.629,-529.534,2329.01,90.9742,-482.162,2313.84,57.2361,-892.127,2185.7,57.2361,-1297.37,2185.7,-134.14,-490.973,2328.94,-163.11700000000002,-878.916,2143.76,-163.11700000000002,-1284.16,2143.76
3318,Point At SX,19.3991,240.118,2459.89,10.8277,116.818,2435.87,-42.3997,-235.908,2428.22,-55.8195,-435.194,2386.9,-2.13449,30.9205,2434.01,174.68200000000002,9.679860000000001,2430.05,297.48900000000003,-210.611,2264.17,367.43699999999995,-346.551,2025.78,381.426,-373.73900000000003,1978.1,-2.13449,30.9205,2434.01,-166.812,36.156,2453.15,-248.86700000000002,-249.53900000000002,2505.79,-299.83,-516.138,2424.98,-319.20599999999996,-617.498,2394.26,53.2358,-508.671,2360.42,7.614330000000001,-866.505,2124.43,7.614330000000001,-1271.99,2124.43,-163.645,-517.559,2393.11,-133.944,-920.959,2244.11,-133.944,-1326.44,2244.11
1204,Drop SX,-117.34200000000001,386.032,1598.66,-123.11,262.249,1577.14,-123.696,-86.0454,1603.61,-113.788,-270.341,1569.47,-123.25399999999999,176.71599999999998,1583.64,35.9156,168.96400000000003,1630.69,177.541,85.9096,1873.07,422.436,135.434,1800.7,471.415,145.339,1786.22,-123.25399999999999,176.71599999999998,1583.64,-276.817,159.57,1525.27,-329.14300000000003,-125.329,1482.84,-306.33099999999996,-354.055,1361.07,-301.768,-399.801,1336.72,-4.804869999999999,-341.76599999999996,1589.25,51.394,-736.842,1444.8,51.394,-1137.14,1444.8,-223.763,-335.01599999999996,1541.69,-203.146,-690.807,1311.27,-203.146,-1091.11,1311.27
4153,Take DX,-172.521,354.85400000000004,1851.46,-156.808,222.66099999999997,1821.32,-140.319,-129.546,1807.69,-137.298,-339.73400000000004,1760.09,-152.649,133.81,1817.88,21.4967,130.011,1790.63,91.0575,-156.737,1781.63,94.4426,-396.995,1617.86,95.1196,-445.04699999999997,1585.11,-152.649,133.81,1817.88,-329.441,127.25,1870.45,-607.312,69.2398,1951.49,-680.904,345.861,1900.3,-695.622,401.185,1890.06,-26.1338,-367.24800000000005,1750.08,-85.0105,-741.857,1523.76,-85.0105,-1157.25,1523.76,-245.22299999999998,-377.67199999999997,1764.89,-245.22299999999998,-819.279,1764.89,-245.22299999999998,-1234.67,1764.89
3181,Point At SX,-50.5654,305.145,2056.1,-52.3239,179.105,2026.14,-90.931,-176.235,2031.47,-103.84700000000001,-364.45300000000003,1994.65,-61.6469,93.2959,2027.43,107.204,77.6058,2016.69,358.51599999999996,-51.199,1895.68,541.005,-78.1477,1700.25,577.503,-83.5374,1661.17,-61.6469,93.2959,2027.43,-216.977,88.7909,2050.08,-316.62,-194.68200000000002,2114.15,-348.144,-437.517,2003.43,-354.449,-486.084,1981.29,-1.4489,-437.81699999999995,1978.28,-32.7964,-795.8330000000001,1745.39,-32.7964,-1198.67,1745.39,-209.292,-436.026,2006.12,-209.292,-864.2760000000001,2006.12,-209.292,-1267.11,2006.12
4263,Take DX,408.235,299.558,2026.92,405.375,176.419,1986.36,398.019,-175.127,1966.32,403.332,-385.574,1921.07,403.51800000000003,87.6599,1981.3,574.368,82.0322,2011.91,629.469,-221.571,2045.36,684.1060000000001,-469.546,1949.38,695.033,-519.141,1930.18,403.51800000000003,87.6599,1981.3,228.42700000000002,94.5507,1976.01,-23.0948,55.9108,1798.32,9.650889999999999,322.676,1760.18,16.2,376.03,1752.56,510.152,-425.149,1932.29,485.439,-808.329,1715.1,485.439,-1223.29,1715.1,291.47,-410.681,1903.86,320.051,-790.107,1680.64,320.051,-1205.07,1680.64
4186,Take DX,-2.3253,318.88,1988.51,1.93386,189.84900000000002,1960.4,2.17115,-163.399,1955.27,-5.23965,-372.944,1905.6,1.99363,100.87100000000001,1959.11,180.36900000000003,91.8655,1968.45,266.675,-192.88,1990.35,295.13599999999997,-429.17199999999997,1863.44,300.828,-476.431,1838.06,1.99363,100.87100000000001,1959.11,-181.296,102.51,1977.82,-466.635,53.8406,1905.56,-473.486,313.767,1833.84,-474.856,365.75300000000004,1819.5,109.039,-400.625,1911.62,87.4888,-800.21,1764.19,87.4888,-1215.48,1764.19,-119.476,-397.44,1901.97,-136.08,-786.015,1727.04,-136.08,-1201.29,1727.04
